prefijo,sistema,version,fecha
TES,Tesoreria,007_000_006,2014-04-09 12:49:40
PER,PER,007_003_002,2014-10-24 14:32:58
CTA,Contabilidad,007_001_006,2015-01-22 07:10:09
PRE,Presupuesto,007_000_002,2013-11-04 07:06:25
TES,Tesoreria,007_000_006,2014-04-09 11:18:20
BIE,Bienes Fisicos,007_000_005,2014-07-23 10:02:51
PER,PER,007_003_002,2014-11-29 12:51:11
TES,Tesoreria,007_000_006,2014-04-09 13:18:33
CTR,Contrataciones,007_000_005,2014-09-19 07:09:29
CAS,Configuracion Auditoria y Seguridad,007_000_001,2012-12-19 07:37:10
CRE,Credito Publico,007_000_001,2012-12-19 07:37:10
ING,ING,007_000_001,2012-12-19 07:37:10
INV,Inversion Publica,007_000_001,2012-12-19 07:37:10
EST,EST,007_000_002,2013-11-12 07:13:07
